lead_sponsor,study_count,total_planned_enrollment,open_issue_count,high_priority_count
National Cancer Institute (NCI),7,1453,0,0
Merck Sharp & Dohme LLC,5,5020,0,0
Weill Medical College of Cornell University,5,2779,1,0
Eli Lilly and Company,4,6385,0,0
New York Medical College,4,80,1,0
Pfizer,4,7023,0,0
AbbVie,3,782,0,0
"Janssen Research & Development, LLC",3,1974,0,0
NRG Oncology,3,4562,0,0
VA Office of Research and Development,3,5560,0,0
Gilead Sciences,2,1832,0,0
Memorial Sloan Kettering Cancer Center,2,870,0,0
National Institute of Allergy and Infectious Diseases (NIAID),2,274,0,0
Aerogen Pharma Limited,1,520,0,0
Amgen,1,160,0,0
Artivion Inc.,1,132,0,0
Autolus Limited,1,35,0,0
"Bio-Path Holdings, Inc.",1,108,1,0
Boehringer Ingelheim,1,400,0,0
Brigham and Women's Hospital,1,6000,0,0
Bristol-Myers Squibb,1,35,0,0
Canadian Cancer Trials Group,1,320,0,0
"CHDI Foundation, Inc.",1,35000,1,1
Children's Hospital of Philadelphia,1,150000,0,0
Children's Oncology Group,1,1186,0,0
Clarity Pharmaceuticals Ltd,1,54,0,0
"Corvivo Cardiovascular, Inc.",1,92,0,0
Dartmouth-Hitchcock Medical Center,1,8946,0,0
Debiopharm International SA,1,116,0,0
Duke University,1,2600,0,0
Hoffmann-La Roche,1,80000,0,0
Inari Medical,1,100,0,0
Johns Hopkins University,1,200,0,0
"JSR Medical Co., Ltd.",1,256,0,0
LivaNova,1,6800,0,0
"Loxo Oncology, Inc.",1,737,0,0
Mayo Clinic,1,730,0,0
Melanoma and Skin Cancer Trials Limited,1,2998,1,0
"MMI (Medical Microinstruments, Inc.)",1,15,0,0
Montreal Heart Institute,1,21000,0,0
Narrows Institute for Biomedical Research,1,20,1,0
"Natera, Inc.",1,725,0,0
NewAmsterdam Pharma,1,300,0,0
New York University,1,500,0,0
Novartis Pharmaceuticals,1,225,0,0
NYU Langone Health,1,24,0,0
Parkinson's Foundation,1,25000,1,0
"PedAL BCU, LLC",1,130,0,0
Pediatric Spine Foundation,1,106,1,1
Regeneron Pharmaceuticals,1,975,0,0
Southwest Autism Research & Resource Center,1,500,0,0
State University of New York at Buffalo,1,50,1,0
SWOG Cancer Research Network,1,10000,0,0
Takeda,1,24,0,0
The New York Eye & Ear Infirmary,1,150,0,0
"Tyra Biosciences, Inc",1,90,0,0
United Therapeutics,1,50,0,0
"University of California, San Francisco",1,50,0,0
University of Minnesota,1,1500,0,0
University of Southern California,1,550,0,0
University of South Florida,1,75,0,0
US Oncology Research,1,7500,0,0
"Vedanta Biosciences, Inc.",1,852,0,0
Wake Forest University Health Sciences,1,320,0,0
Washington University School of Medicine,1,280,0,0
Zealand Pharma,1,90,0,0
