nct_id,brief_title,overall_status,lead_sponsor,enrollment,last_update_date
NCT07214532,Signatera-Guided CDK4/6 Inhibitor Therapy in Breast Cancer,RECRUITING,"Natera, Inc.",725,2026-08-13
NCT07224763,Study to Evaluate the Safety and Efficacy of the GGTA1 KO Thymokidney in Patients With ESRD,RECRUITING,United Therapeutics,50,2026-05-27
NCT05240924,ERP to Improve Functioning in Veterans With OCD,RECRUITING,VA Office of Research and Development,160,2026-06-08
NCT06393374,Sacituzumab Tirumotecan (MK-2870) Plus Pembrolizumab Versus TPC in TNBC Who Did Not Achieve pCR (MK-2870-012),RECRUITING,Merck Sharp & Dohme LLC,1530,2026-08-21
NCT05765812,A Study of Debio 0123 in Combination With Temozolomide in Adult Participants With Recurrent or Progressive Glioblastoma and of Debio 0123 in Combination With Temozolomide and Radiotherapy in Adult Participants With Newly Diagnosed Glioblastoma,RECRUITING,Debiopharm International SA,116,2026-08-24
NCT05568719,Safety and Effectiveness of Giroctocogene Fitelparvovec or Fidanacogene Elaparvovec in Patients With Hemophilia A or B Respectively,RECRUITING,Pfizer,173,2026-05-27
NCT07197944,Efficacy And Safety Evaluation of Glepaglutide in Treatment of SBS,RECRUITING,Zealand Pharma,90,2026-08-12
NCT04322734,Transgenerational Metabolic-Immune Biomarkers of Neurological and Neurodevelopmental Disorders,RECRUITING,Southwest Autism Research & Resource Center,500,2026-04-23
NCT05987124,Defibrotide Dose-escalation for SOS Post-HSCT,RECRUITING,New York Medical College,20,2026-04-15
NCT06172296,"Dinutuximab With Chemotherapy, Surgery and Stem Cell Transplantation for the Treatment of Children With Newly Diagnosed High Risk Neuroblastoma",RECRUITING,National Cancer Institute (NCI),478,2026-08-25
NCT05721781,Reducing Risk for Infective Endocarditis,RECRUITING,Wake Forest University Health Sciences,320,2026-07-24
NCT06776783,Safety and Efficacy of APC-0101 in Preterm Infants With Respiratory Distress Syndrome,RECRUITING,Aerogen Pharma Limited,520,2026-08-06
NCT03860883,Melanoma Margins Trial-II: 1cm v 2cm Wide Surgical Excision Margins for AJCC Stage II Primary Cutaneous Melanoma,RECRUITING,Melanoma and Skin Cancer Trials Limited,2998,2024-11-27
NCT01574053,Enroll -HD: A Prospective Registry Study in a Global Huntington's Disease Cohort,RECRUITING,"CHDI Foundation, Inc.",35000,2024-02-28
NCT00588562,Rare Kidney Stone Consortium Patient Registry,RECRUITING,Mayo Clinic,730,2026-07-10
NCT06662786,A Study of Amivantamab and mFOLFOX6 or FOLFIRI Versus Cetuximab and mFOLFOX6 or FOLFIRI as First-line Treatment in Participants With KRAS/NRAS and BRAF Wild-type Unresectable or Metastatic Left-sided Colorectal Cancer,RECRUITING,"Janssen Research & Development, LLC",1000,2026-07-31
NCT05618353,The Peri-OPerative COlchicine to Reduce Negative Events (POPCORN) Trial,RECRUITING,VA Office of Research and Development,700,2026-04-22
